alpha,Mach,beam_parent_rank,beam_parent_id,local_rank,cand_cr,cand_ci,cand_omega_i,peak_y,peak_amp,centroid_y,spread_y,phase_span,distance_to_previous,distance_to_shooting,overlap_to_previous,overlap_to_reference,blumen_ci_target,blumen_ci_abs_err,cr_floor_term,low_ci_term,local_score,shooting_cr,shooting_ci,shooting_omega_i,shooting_spectral_success
0.2,1.275,1,0,1,0.7665006496258114,0.005136914080848092,0.0010273828161696185,-7.105263157894739,1.0,0.15527778450305926,1.8544785483134985,3.1359745906395533,0.000270173479849755,0.49395662438427296,0.9995188310904523,0.9995188310904523,0.021013010859494783,0.01587609677864669,0.0,0.31507812255358764,0.8750062156278211,0.28134521484375,0.05155175781249999,0.010310351562499999,True
0.2,1.275,1,0,2,0.7753944621994385,0.0049494028395404505,0.0009898805679080902,-7.105263157894739,0.9999999999999999,0.1567843800633141,1.8502393257516456,3.1364228345023246,0.008897718672553881,0.5027641363192339,0.9997465454492435,0.9997465454492435,0.021013010859494783,0.016063608019954333,0.0,0.34007962139460657,0.9209467789074881,0.28134521484375,0.05155175781249999,0.010310351562499999,True
0.2,1.275,1,0,3,0.7575111254283302,0.0053269110791500695,0.001065382215830014,-7.105263157894739,1.0,0.1536077030785621,1.859065591564083,3.1355367118303117,0.009009724261187742,0.48505764629055087,0.9992053387212543,0.9992053387212543,0.021013010859494783,0.015686099780344714,0.0,0.2897451894466574,1.0202012508426472,0.28134521484375,0.05155175781249999,0.010310351562499999,True
0.2,1.275,1,0,4,0.7841870182204524,0.004764192447398704,0.0009528384894797407,-7.105263157894739,0.9999999999999999,0.15815634856738545,1.8463238885193587,3.1368432703819726,0.017696040622345546,0.5114745197116946,0.9998962823902924,0.9998962823902924,0.021013010859494783,0.016248818412096078,0.0,0.3647743403468395,1.0552292739118732,0.28134521484375,0.05155175781249999,0.010310351562499999,True
0.2,1.275,1,0,5,0.748431314644648,0.005519624046396853,0.0011039248092793708,-7.105263157894739,1.0,0.15178755405862507,1.8639973070332703,3.135181974916013,0.018095702883663183,0.476072740223021,0.9987976501374518,0.9987976501374518,0.021013010859494783,0.01549338681309793,0.0,0.2640501271470862,1.166137255111493,0.28134521484375,0.05155175781249999,0.010310351562499999,True
0.2,1.275,1,0,6,0.7928726599486284,0.004581137507921541,0.0009162275015843082,-7.105263157894739,1.0,0.15942844472945508,1.8427049153765036,3.1372375166855933,0.026388715757431694,0.5200819971722842,0.9999752682492753,0.9999752682492753,0.021013010859494783,0.016431873351573242,0.0,0.38918166561046125,1.2227427746556483,0.28134521484375,0.05155175781249999,0.010310351562499999,True
